excel_row,item_no,name,price,image_file,mapping_source
2,TJ2073,سيارة ريموت لا سلكي TJ2073,16,images/TJ2073.jpg,own_excel_row_image_idx_6
3,TJ2074,سيارة مجنونة ثقيل TJ2074,30,images/TJ2074.jpg,own_excel_row_image_idx_7
4,JS181,شاحنة بطاريات مع اضاءة وموسيقى JS181,25,images/JS181.jpg,own_excel_row_image_idx_8
5,JS129-1,جرافة بطاريات مع اضاءة وموسيقى JS129-1,25,images/JS129-1.jpg,own_excel_row_image_idx_9
6,JH-67E,سيارة ريموت لا سلكي JH-67E,18,images/JH-67E.jpg,own_excel_row_image_idx_10
7,JH-55E,سيارة ريموت لا سلكي JH-55E,18,images/JH-55E.jpg,own_excel_row_image_idx_11
8,JH-54E,سيارة ريموت لا سلكي JH-54E,18,images/JH-54E.jpg,own_excel_row_image_idx_12
9,777-562,سيارة ريموت لا سلكي 777-562,27,images/777-562.jpg,own_excel_row_image_idx_13
10,XH558,سيارة ريموت لا سلكي XH558,27,images/XH558.jpg,own_excel_row_image_idx_14
11,777-560,سيارة ريموت لا سلكي 777-560,27,images/777-560.jpg,own_excel_row_image_idx_15
12,777-561,سيارة ريموت لا سلكي 777-561,27,images/777-561.jpg,own_excel_row_image_idx_16
13,JH-GS1,سيارة ريموت لا سلكي JH-GS1,60,images/JH-GS1.jpg,own_excel_row_image_idx_17
14,822-28,سيارة ريموت لا سلكي 822-28,40,images/822-28.jpg,own_excel_row_image_idx_18
15,822-25,سيارة ريموت لا سلكي 822-25,45,images/822-25.jpg,own_excel_row_image_idx_19
16,JH-52CXH,سيارة ريموت لا سلكي JH-52CXH,13,images/JH-52CXH.jpg,own_excel_row_image_idx_20
17,689S-78,سيارة ريموت لا سلكي 689S-78,95,images/689S-78.jpg,own_excel_row_image_idx_21
18,857-24,ستاند طابات اساور دزني 857-24,6.5,images/857-24.jpg,own_excel_row_image_idx_22
19,YF825-1,لعبة ادوات بناتي كبير سشوار  YF825-1,45,images/YF825-1.jpg,own_excel_row_image_idx_23
20,YF826,لعبة ادوات بناتي كبير سشوار  YF826,45,images/YF826.jpg,own_excel_row_image_idx_24
21,YF825-2,لعبة أدوات بناتي كبير ستريت YF825-2,45,images/YF825-2.jpg,own_excel_row_image_idx_25
22,8073E,جرافة لا سلكي شحن  8073E,50,images/8073E.jpg,own_excel_row_image_idx_26
23,8070E,باجر لا سلكي شحن 8070E,75,images/8070E.jpg,own_excel_row_image_idx_27
24,666-114,شاحنة 6 عجلات لا سلكي 666-114,75,images/666-114.jpg,own_excel_row_image_idx_28
25,666-110,سيارة باتمان شفاف لا سلكي 666-110,35,images/666-110.jpg,own_excel_row_image_idx_29
26,666-65,سيارة باتمان اسود لا سلكي 666-65,35,images/666-65.jpg,own_excel_row_image_idx_30
27,H484,سيارة ريموت لا سلكي H484,25,images/H484.jpg,own_excel_row_image_idx_31
28,666-131,جيب بناتي لا سلكي 666-131,38,images/666-131.jpg,own_excel_row_image_idx_32
